ZINC_ID,SMILES
ZINCag0000004Tja,O=C(O)C1CN([C@H]2C[C@@H]2Cn2ccnn2)C[C@H]1c1cccc(F)c1
ZINCag0000004Tja,O=C(O)C1CN([C@@H]2C[C@@H]2Cn2ccnn2)C[C@H]1c1cccc(F)c1
ZINCaa0000003Txq,O=C(O)C1CN([C@H]2C[C@@H]2Cn2cnnn2)C[C@H]1c1cccc(F)c1
ZINCaa0000003Txq,O=C(O)C1CN([C@@H]2C[C@@H]2Cn2cnnn2)C[C@H]1c1cccc(F)c1
ZINCao0000003OTl,O=C(O)C1CN([C@H]2C[C@H]2CN2CCCC2)C[C@H]1c1cccc(F)c1
ZINCao0000003OTl,O=C(O)C1CN([C@@H]2C[C@H]2CN2CCCC2)C[C@H]1c1cccc(F)c1
ZINC9l00000057vF,O=C(O)C1CN([C@H]2C[C@H]2CNC2CC2)C[C@H]1c1cccc(F)c1
ZINC9l00000057vF,O=C(O)C1CN([C@@H]2C[C@H]2CNC2CC2)C[C@H]1c1cccc(F)c1
ZINCak0000005W48,O=C(O)C1CN([C@H]2C[C@H]2CSC2CNC2)C[C@H]1c1cccc(F)c1
ZINCak0000005W48,O=C(O)C1CN([C@@H]2C[C@H]2CSC2CNC2)C[C@H]1c1cccc(F)c1
ZINCap0000003Oz0,O=C(O)C1CN([C@H]2C[C@H]2CSC2COC2)C[C@H]1c1cccc(F)c1
ZINCap0000003Oz0,O=C(O)C1CN([C@@H]2C[C@H]2CSC2COC2)C[C@H]1c1cccc(F)c1
ZINCam0000003Txp,O=C(O)C1CN([C@H]2C[C@H]2Cn2cccn2)C[C@H]1c1cccc(F)c1
ZINCam0000003Txp,O=C(O)C1CN([C@@H]2C[C@H]2Cn2cccn2)C[C@H]1c1cccc(F)c1
ZINCam0000003SlZ,O=C(O)C1CN([C@H]2C[C@H]2Cn2ccnc2)C[C@H]1c1cccc(F)c1
ZINCam0000003SlZ,O=C(O)C1CN([C@@H]2C[C@H]2Cn2ccnc2)C[C@H]1c1cccc(F)c1
ZINCag00000057vA,O=C(O)C1CN([C@H]2C[C@H]2Cn2ccnn2)C[C@H]1c1cccc(F)c1
ZINCag00000057vA,O=C(O)C1CN([C@@H]2C[C@H]2Cn2ccnn2)C[C@H]1c1cccc(F)c1
ZINCaa0000003Txr,O=C(O)C1CN([C@H]2C[C@H]2Cn2cnnn2)C[C@H]1c1cccc(F)c1
